City ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
300,Jumla,NP,29.27,82.18,2020-04-11,60.01,64.0,14.0,2.84
301,Bayan,KW,29.3,48.05,2020-04-11,78.8,31.0,22.0,16.11
302,Suez,EG,29.97,32.53,2020-04-11,60.37,60.0,0.0,4.68
303,Sakakah,SA,29.97,40.21,2020-04-11,55.4,50.0,20.0,8.05
304,Callaway,US,30.15,-85.57,2020-04-11,60.8,44.0,1.0,6.93
305,Rudbar,AF,30.15,62.6,2020-04-11,84.04,23.0,100.0,8.57
306,Ajdabiya,LY,30.76,20.23,2020-04-11,58.26,66.0,2.0,5.79
307,Yushan,CN,31.38,120.95,2020-04-11,55.0,87.0,90.0,15.66
308,Kushima,JP,31.46,131.23,2020-04-11,66.2,48.0,75.0,8.05
309,Nichinan,JP,31.6,131.37,2020-04-11,66.2,48.0,75.0,10.29
310,Hamilton,BM,32.29,-64.78,2020-04-11,64.0,82.0,90.0,20.8
311,Asfi,MA,32.3,-9.24,2020-04-11,61.05,84.0,86.0,14.9
312,Saint George,BM,32.38,-64.68,2020-04-11,64.99,82.0,90.0,18.34
313,Guangyuan,CN,32.44,105.82,2020-04-11,60.01,28.0,92.0,8.19
314,Ponta Do Sol,PT,32.67,-17.1,2020-04-11,64.4,77.0,20.0,10.29
315,Porto Santo,PT,33.07,-16.34,2020-04-11,64.4,72.0,20.0,10.29
